bank_nomi,hisobot_oyi,korsatkich_nomi,turi,summa_som
Milliy Bank,2026-03,Asosiy vositalar,aktiv,790149782169
Milliy Bank,2026-03,Jami aktivlar,aktiv,1531511900389
Milliy Bank,2026-03,Jismoniy shaxs depozitlari,passiv,366916307221
Milliy Bank,2026-03,Yuridik shaxs depozitlari,passiv,621510136699
Milliy Bank,2026-03,Banklararo qarzlar,passiv,151965720357
Milliy Bank,2026-03,Chiqarilgan qimmatli qog'ozlar,passiv,30774825221
Milliy Bank,2026-03,Kapital,passiv,360344910891
Milliy Bank,2026-03,Jami passivlar va kapital,passiv,1531511900389
Agro Bank,2025-10,Naqd pul va MB dagi mablag'lar,aktiv,44586494683
Agro Bank,2025-10,Banklararo joylashtirishlar,aktiv,55229889671
Agro Bank,2025-10,Kredit portfeli,aktiv,217190103005
Agro Bank,2025-10,Kredit zaxirasi,aktiv,-12687154696
Agro Bank,2025-10,Qimmatli qog'ozlar,aktiv,51085603755
Agro Bank,2025-10,Asosiy vositalar,aktiv,46736219460
Agro Bank,2025-10,Jami aktivlar,aktiv,402141155878
Agro Bank,2025-10,Aholi depozitlari,passiv,969918321409
Agro Bank,2025-10,Yuridik shaxs depozitlari,passiv,62236739397
Agro Bank,2025-10,Banklararo qarzlar,passiv,25464335748
Agro Bank,2025-10,Chiqarilgan qimmatli qog'ozlar,passiv,39812327933
Agro Bank,2025-10,Xususiy kapital,passiv,-695290568609
Agro Bank,2025-10,Jami passivlar va kapital,passiv,402141155878
Agro Bank,2025-11,Naqd pullar va MB hisobvaraqlari,aktiv,44126630771
Agro Bank,2025-11,Banklararo joylashtirishlar,aktiv,57905122122
Agro Bank,2025-11,Kredit portfeli,aktiv,226640396536
Agro Bank,2025-11,Kredit zaxirasi,aktiv,-8309338695
Agro Bank,2025-11,Qimmatli qog'ozlar,aktiv,53531170009
Agro Bank,2025-11,Asosiy vositalar,aktiv,47906276021
Agro Bank,2025-11,Jami aktivlar,aktiv,421800256764
Agro Bank,2025-11,Jismoniy shaxs depozitlari,passiv,1026342133329
Agro Bank,2025-11,Yuridik shaxs depozitlari,passiv,63621509780
Agro Bank,2025-11,Banklararo qarzlar,passiv,25276197224
Agro Bank,2025-11,Chiqarilgan qimmatli qog'ozlar,passiv,41924950882
Agro Bank,2025-11,Kapital,passiv,-735364534451
Agro Bank,2025-11,Jami passivlar va kapital,passiv,421800256764
Agro Bank,2025-12,Naqd pul va MB dagi mablag'lar,aktiv,42924537488
Agro Bank,2025-12,Banklararo joylashtirishlar,aktiv,60701674333
Agro Bank,2025-12,Kredit portfeli (brutto),aktiv,233488617522
Agro Bank,2025-12,Kredit zaxirasi,aktiv,-15070527111
Agro Bank,2025-12,Qimmatli qog'ozlar,aktiv,55998931368
Agro Bank,2025-12,Asosiy vositalar,aktiv,48635296839
Agro Bank,2025-12,Jami aktivlar,aktiv,426678530439
Agro Bank,2025-12,Aholi depozitlari,passiv,1020148030432
Agro Bank,2025-12,Yuridik shaxs depozitlari,passiv,64675458706
Agro Bank,2025-12,Banklararo qarzlar,passiv,24701786142
Agro Bank,2025-12,Chiqarilgan qimmatli qog'ozlar,passiv,40963595802
Agro Bank,2025-12,Xususiy kapital,passiv,-723810340643
Agro Bank,2025-12,Jami passivlar va kapital,passiv,426678530439
Agro Bank,2026-01,Naqd pul va MB dagi mablag'lar,aktiv,44141720515
Agro Bank,2026-01,Banklararo joylashtirishlar,aktiv,61826329874
Agro Bank,2026-01,Berilgan kreditlar (brutto),aktiv,229527180130
Agro Bank,2026-01,Kredit zaxirasi,aktiv,-18131024252
Agro Bank,2026-01,Qimmatli qog'ozlar,aktiv,56966535914
Agro Bank,2026-01,Asosiy vositalar,aktiv,51093326475
Agro Bank,2026-01,Jami aktivlar,aktiv,425424068656
Agro Bank,2026-01,Jismoniy shaxs depozitlari,passiv,1075719433706
Agro Bank,2026-01,Yuridik shaxs depozitlari,passiv,64626603975
Agro Bank,2026-01,Banklararo qarzlar,passiv,25561393605
Agro Bank,2026-01,Chiqarilgan qimmatli qog'ozlar,passiv,40729513489
Agro Bank,2026-01,Kapital,passiv,-781212876119
Agro Bank,2026-01,Jami passivlar va kapital,passiv,425424068656
Agro Bank,2026-02,Naqd pullar va MB hisobvaraqlari,aktiv,45640465644
Agro Bank,2026-02,Banklararo joylashtirishlar,aktiv,65045959314
Agro Bank,2026-02,Kredit portfeli (brutto),aktiv,236363529938
Agro Bank,2026-02,Kredit zaxirasi,aktiv,-7406356802
Agro Bank,2026-02,Qimmatli qog'ozlar,aktiv,57892901038
Agro Bank,2026-02,Asosiy vositalar,aktiv,50943209406
Agro Bank,2026-02,Jami aktivlar,aktiv,448479708538
Agro Bank,2026-02,Jismoniy shaxs depozitlari,passiv,1081126886173
Agro Bank,2026-02,Yuridik shaxs depozitlari,passiv,67049928604
Agro Bank,2026-02,Banklararo qarzlar,passiv,25887228659
Agro Bank,2026-02,Chiqarilgan qimmatli qog'ozlar,passiv,42627396667
Agro Bank,2026-02,Kapital,passiv,-768211731565
Agro Bank,2026-02,Jami passivlar va kapital,passiv,448479708538
Agro Bank,2026-03,Kassa va Markaziy bankdagi mablag',aktiv,45241326994
Agro Bank,2026-03,Banklararo joylashtirishlar,aktiv,68684614135
Agro Bank,2026-03,Kredit portfeli,aktiv,239565139870
Agro Bank,2026-03,Kredit zaxirasi,aktiv,-11898329943
Agro Bank,2026-03,Qimmatli qog'ozlar,aktiv,59000423025
Agro Bank,2026-03,Asosiy vositalar,aktiv,50460843101
Agro Bank,2026-03,Jami aktivlar,aktiv,451054017182
Agro Bank,2026-03,Jismoniy shaxslar omonatlari,passiv,1081674083258
Agro Bank,2026-03,Yuridik shaxs depozitlari,passiv,68175023538
Agro Bank,2026-03,Banklararo qarzlar,passiv,26791200940
Agro Bank,2026-03,Chiqarilgan qimmatli qog'ozlar,passiv,44614003441
Agro Bank,2026-03,Xususiy kapital,passiv,-770200293995
Agro Bank,2026-03,Jami passivlar va kapital,passiv,451054017182
Turon Bank,2025-10,Naqd pullar va MB hisobvaraqlari,aktiv,2139115016
Turon Bank,2025-10,Banklararo joylashtirishlar,aktiv,464789008
Turon Bank,2025-10,Kredit portfeli (brutto),aktiv,4705056100
Turon Bank,2025-10,Kredit zaxirasi,aktiv,-346892579
Turon Bank,2025-10,Qimmatli qog'ozlar,aktiv,12839700426
Turon Bank,2025-10,Asosiy vositalar,aktiv,696421530
Turon Bank,2025-10,Jami aktivlar,aktiv,20498189501
Turon Bank,2025-10,Jismoniy shaxs depozitlari,passiv,12764549600
Turon Bank,2025-10,Yuridik shaxs depozitlari,passiv,1107636526
Turon Bank,2025-10,Banklararo qarzlar,passiv,426597265
Turon Bank,2025-10,Chiqarilgan qimmatli qog'ozlar,passiv,882188271
Turon Bank,2025-10,Xususiy kapital,passiv,5317217839
Turon Bank,2025-10,Jami passivlar va kapital,passiv,20498189501
Turon Bank,2025-11,Naqd pul va MB dagi mablag'lar,aktiv,2144419401
Turon Bank,2025-11,Banklararo joylashtirishlar,aktiv,481996022
Turon Bank,2025-11,Kredit portfeli (brutto),aktiv,4790424087
Turon Bank,2025-11,Kredit zaxirasi,aktiv,-371841681
Turon Bank,2025-11,Qimmatli qog'ozlar,aktiv,13173187229
Turon Bank,2025-11,Asosiy vositalar,aktiv,689358383
Turon Bank,2025-11,Jami aktivlar,aktiv,20907543441
Turon Bank,2025-11,Jismoniy shaxs depozitlari,passiv,12720384658
Turon Bank,2025-11,Yuridik shaxs depozitlari,passiv,1173277792
Turon Bank,2025-11,Banklararo qarzlar,passiv,441489392
Turon Bank,2025-11,Chiqarilgan qimmatli qog'ozlar,passiv,869931999
Turon Bank,2025-11,Xususiy kapital,passiv,5702459600
Turon Bank,2025-11,Jami passivlar va kapital,passiv,20907543441
Turon Bank,2025-12,Naqd pullar va MB hisobvaraqlari,aktiv,2246805136
Turon Bank,2025-12,Banklararo joylashtirishlar,aktiv,498302661
Turon Bank,2025-12,Berilgan kreditlar (brutto),aktiv,5050274995
Turon Bank,2025-12,Kredit zaxirasi,aktiv,-237146028
Turon Bank,2025-12,Qimmatli qog'ozlar,aktiv,13147769214
Turon Bank,2025-12,Asosiy vositalar,aktiv,681861479
Turon Bank,2025-12,Jami aktivlar,aktiv,21387867457
Turon Bank,2025-12,Jismoniy shaxs depozitlari,passiv,12975028680
Turon Bank,2025-12,Yuridik shaxs depozitlari,passiv,1198231266
Turon Bank,2025-12,Banklararo qarzlar,passiv,432988256
Turon Bank,2025-12,Chiqarilgan qimmatli qog'ozlar,passiv,851571218
Turon Bank,2025-12,Xususiy kapital,passiv,5930048037
Turon Bank,2025-12,Jami passivlar va kapital,passiv,21387867457
Turon Bank,2026-01,Naqd pul va MB dagi mablag'lar,aktiv,2342141804
Turon Bank,2026-01,Banklararo joylashtirishlar,aktiv,495166539
Turon Bank,2026-01,Kredit portfeli,aktiv,5278849303
Turon Bank,2026-01,Kredit zaxirasi,aktiv,-463193791
Turon Bank,2026-01,Qimmatli qog'ozlar,aktiv,13876722309
Turon Bank,2026-01,Asosiy vositalar,aktiv,706212876
Turon Bank,2026-01,Jami aktivlar,aktiv,22235899040
Turon Bank,2026-01,Jismoniy shaxs depozitlari,passiv,12721741743
Turon Bank,2026-01,Yuridik shaxs depozitlari,passiv,1207885595
Turon Bank,2026-01,Banklararo qarzlar,passiv,447541494
Turon Bank,2026-01,Chiqarilgan qimmatli qog'ozlar,passiv,826871180
Turon Bank,2026-01,Ustav kapitali va zaxiralar,passiv,7031859028
Turon Bank,2026-01,Jami passivlar va kapital,passiv,22235899040
Turon Bank,2026-02,Kassa va Markaziy bankdagi mablag',aktiv,2452127883
Turon Bank,2026-02,Banklararo joylashtirishlar,aktiv,487648820
Turon Bank,2026-02,Kredit portfeli (brutto),aktiv,5180285484
Turon Bank,2026-02,Kredit zaxirasi,aktiv,-392262752
Turon Bank,2026-02,Qimmatli qog'ozlar,aktiv,14270590636
Turon Bank,2026-02,Asosiy vositalar,aktiv,703925878
Turon Bank,2026-02,Jami aktivlar,aktiv,22702315949
Turon Bank,2026-02,Jismoniy shaxs depozitlari,passiv,13260762012
Turon Bank,2026-02,Yuridik shaxs depozitlari,passiv,1183416830
Turon Bank,2026-02,Banklararo qarzlar,passiv,448560419
Turon Bank,2026-02,Chiqarilgan qimmatli qog'ozlar,passiv,875108814
Turon Bank,2026-02,Kapital,passiv,6934467874
Turon Bank,2026-02,Jami passivlar va kapital,passiv,22702315949
Turon Bank,2026-03,Naqd pul va MB dagi mablag'lar,aktiv,2419733363
Turon Bank,2026-03,Banklararo joylashtirishlar,aktiv,509886122
Turon Bank,2026-03,Kredit portfeli (brutto),aktiv,5192438308
Turon Bank,2026-03,Kredit zaxirasi,aktiv,-371084966
Turon Bank,2026-03,Qimmatli qog'ozlar,aktiv,14756621818
Turon Bank,2026-03,Asosiy vositalar,aktiv,698000648
Turon Bank,2026-03,Jami aktivlar,aktiv,23205595293
Turon Bank,2026-03,Jismoniy shaxs depozitlari,passiv,12878176994
Turon Bank,2026-03,Yuridik shaxs depozitlari,passiv,1186681123
Turon Bank,2026-03,Banklararo qarzlar,passiv,465491253
Turon Bank,2026-03,Chiqarilgan qimmatli qog'ozlar,passiv,920519920
Turon Bank,2026-03,Ustav kapitali va zaxiralar,passiv,7754726003
Turon Bank,2026-03,Jami passivlar va kapital,passiv,23205595293
Hamkor Bank,2025-10,Naqd pul va MB dagi mablag'lar,aktiv,23549404490
Hamkor Bank,2025-10,Banklararo joylashtirishlar,aktiv,6683513355
Hamkor Bank,2025-10,Kredit portfeli,aktiv,39076990020
Hamkor Bank,2025-10,Kredit zaxirasi,aktiv,-2954169802
Hamkor Bank,2025-10,Qimmatli qog'ozlar,aktiv,419574466
Hamkor Bank,2025-10,Asosiy vositalar,aktiv,762994209
Hamkor Bank,2025-10,Jami aktivlar,aktiv,67538306738
Hamkor Bank,2025-10,Jismoniy shaxslar omonatlari,passiv,42946190414
Hamkor Bank,2025-10,Yuridik shaxs depozitlari,passiv,14795533378
Hamkor Bank,2025-10,Banklararo qarzlar,passiv,765178703
Hamkor Bank,2025-10,Chiqarilgan qimmatli qog'ozlar,passiv,3973967544
Hamkor Bank,2025-10,Kapital,passiv,5057436699
Hamkor Bank,2025-10,Jami passivlar va kapital,passiv,67538306738
Hamkor Bank,2025-11,Kassa va Markaziy bankdagi mablag',aktiv,24874022529
Hamkor Bank,2025-11,Banklararo joylashtirishlar,aktiv,7075960075
Hamkor Bank,2025-11,Kredit portfeli (brutto),aktiv,38692341158
Hamkor Bank,2025-11,Kredit zaxirasi,aktiv,-1308696305
Hamkor Bank,2025-11,Qimmatli qog'ozlar,aktiv,426757156
Hamkor Bank,2025-11,Asosiy vositalar,aktiv,797590449
Hamkor Bank,2025-11,Jami aktivlar,aktiv,70557975062
Hamkor Bank,2025-11,Jismoniy shaxs depozitlari,passiv,43279018344
Hamkor Bank,2025-11,Yuridik shaxs depozitlari,passiv,14606956103
Hamkor Bank,2025-11,Banklararo qarzlar,passiv,808130803
Hamkor Bank,2025-11,Chiqarilgan qimmatli qog'ozlar,passiv,4071442342
Hamkor Bank,2025-11,Xususiy kapital,passiv,7792427470
Hamkor Bank,2025-11,Jami passivlar va kapital,passiv,70557975062
Hamkor Bank,2025-12,Naqd pul va MB dagi mablag'lar,aktiv,25300827461
Hamkor Bank,2025-12,Banklararo joylashtirishlar,aktiv,7239139341
Hamkor Bank,2025-12,Berilgan kreditlar (brutto),aktiv,40020957645
Hamkor Bank,2025-12,Kredit zaxirasi,aktiv,-2746076339
Hamkor Bank,2025-12,Qimmatli qog'ozlar,aktiv,436037564
Hamkor Bank,2025-12,Asosiy vositalar,aktiv,776841139
Hamkor Bank,2025-12,Jami aktivlar,aktiv,71027726811
Hamkor Bank,2025-12,Jismoniy shaxslar omonatlari,passiv,44485692720
Hamkor Bank,2025-12,Yuridik shaxs depozitlari,passiv,15458425644
Hamkor Bank,2025-12,Banklararo qarzlar,passiv,816509474
Hamkor Bank,2025-12,Chiqarilgan qimmatli qog'ozlar,passiv,3988301804
Hamkor Bank,2025-12,Xususiy kapital,passiv,6278797169
Hamkor Bank,2025-12,Jami passivlar va kapital,passiv,71027726811
Hamkor Bank,2026-01,Kassa va Markaziy bankdagi mablag',aktiv,25638756169
Hamkor Bank,2026-01,Banklararo joylashtirishlar,aktiv,7109945349
Hamkor Bank,2026-01,Berilgan kreditlar (brutto),aktiv,40870583243
Hamkor Bank,2026-01,Kredit zaxirasi,aktiv,-2306847203
Hamkor Bank,2026-01,Qimmatli qog'ozlar,aktiv,441350204
Hamkor Bank,2026-01,Asosiy vositalar,aktiv,773989415
Hamkor Bank,2026-01,Jami aktivlar,aktiv,72527777177
Hamkor Bank,2026-01,Jismoniy shaxs depozitlari,passiv,43552351702
Hamkor Bank,2026-01,Yuridik shaxs depozitlari,passiv,15156388854
Hamkor Bank,2026-01,Banklararo qarzlar,passiv,797087835
Hamkor Bank,2026-01,Chiqarilgan qimmatli qog'ozlar,passiv,4161682164
Hamkor Bank,2026-01,Kapital,passiv,8860266622
Hamkor Bank,2026-01,Jami passivlar va kapital,passiv,72527777177
Hamkor Bank,2026-02,Naqd pullar va MB hisobvaraqlari,aktiv,29401768733
Hamkor Bank,2026-02,Banklararo joylashtirishlar,aktiv,8580138138
Hamkor Bank,2026-02,Kredit portfeli (brutto),aktiv,51388595461
Hamkor Bank,2026-02,Kredit zaxirasi,aktiv,-3118174639
Hamkor Bank,2026-02,Qimmatli qog'ozlar,aktiv,496042180
Hamkor Bank,2026-02,Asosiy vositalar,aktiv,980177786
Hamkor Bank,2026-02,Jami aktivlar,aktiv,87728547659
Hamkor Bank,2026-02,Aholi depozitlari,passiv,54774334458
Hamkor Bank,2026-02,Yuridik shaxs depozitlari,passiv,18923810921
Hamkor Bank,2026-02,Banklararo qarzlar,passiv,1031095745
Hamkor Bank,2026-02,Chiqarilgan qimmatli qog'ozlar,passiv,4869616181
Hamkor Bank,2026-02,Kapital,passiv,8129690354
Hamkor Bank,2026-02,Jami passivlar va kapital,passiv,87728547659
Hamkor Bank,2026-03,Naqd pul va MB dagi mablag'lar,aktiv,30226308334
Hamkor Bank,2026-03,Banklararo joylashtirishlar,aktiv,9026194223
Hamkor Bank,2026-03,Berilgan kreditlar (brutto),aktiv,50909027177
Hamkor Bank,2026-03,Kredit zaxirasi,aktiv,-3987922772
Hamkor Bank,2026-03,Qimmatli qog'ozlar,aktiv,507929006
Hamkor Bank,2026-03,Asosiy vositalar,aktiv,963869307
Hamkor Bank,2026-03,Jami aktivlar,aktiv,87645405275
Hamkor Bank,2026-03,Jismoniy shaxs depozitlari,passiv,56082753701
Hamkor Bank,2026-03,Yuridik shaxs depozitlari,passiv,19269473350
Hamkor Bank,2026-03,Banklararo qarzlar,passiv,1042319688
Hamkor Bank,2026-03,Chiqarilgan qimmatli qog'ozlar,passiv,5086862336
Hamkor Bank,2026-03,Xususiy kapital,passiv,6163996200
Hamkor Bank,2026-03,Jami passivlar va kapital,passiv,87645405275
Universal Bank,2025-10,Naqd pullar va MB hisobvaraqlari,aktiv,9718959384
Universal Bank,2025-10,Banklararo joylashtirishlar,aktiv,19551703609
Universal Bank,2025-10,Kredit portfeli (brutto),aktiv,6218332395
Universal Bank,2025-10,Kredit zaxirasi,aktiv,-303518190
Universal Bank,2025-10,Qimmatli qog'ozlar,aktiv,9294732101
Universal Bank,2025-10,Asosiy vositalar,aktiv,1415699822
Universal Bank,2025-10,Jami aktivlar,aktiv,45895909121
Universal Bank,2025-10,Jismoniy shaxs depozitlari,passiv,8436725865
Universal Bank,2025-10,Yuridik shaxs depozitlari,passiv,1381999970
Universal Bank,2025-10,Banklararo qarzlar,passiv,8492079158
Universal Bank,2025-10,Chiqarilgan qimmatli qog'ozlar,passiv,499040097
Universal Bank,2025-10,Kapital,passiv,27086064031
Universal Bank,2025-10,Jami passivlar va kapital,passiv,45895909121
Universal Bank,2025-11,Naqd pullar va MB hisobvaraqlari,aktiv,9451270343
Universal Bank,2025-11,Banklararo joylashtirishlar,aktiv,19958587278
Universal Bank,2025-11,Kredit portfeli (brutto),aktiv,6106312838
Universal Bank,2025-11,Kredit zaxirasi,aktiv,-183536504
Universal Bank,2025-11,Qimmatli qog'ozlar,aktiv,9477648060
Universal Bank,2025-11,Asosiy vositalar,aktiv,1408099195
Universal Bank,2025-11,Jami aktivlar,aktiv,46218381210
Universal Bank,2025-11,Jismoniy shaxslar omonatlari,passiv,8849969947
Universal Bank,2025-11,Yuridik shaxs depozitlari,passiv,1358439288
Universal Bank,2025-11,Banklararo qarzlar,passiv,8544608727
Universal Bank,2025-11,Chiqarilgan qimmatli qog'ozlar,passiv,505297379
Universal Bank,2025-11,Kapital,passiv,26960065869
Universal Bank,2025-11,Jami passivlar va kapital,passiv,46218381210
Universal Bank,2025-12,Kassa va Markaziy bankdagi mablag',aktiv,14245788080
Universal Bank,2025-12,Banklararo joylashtirishlar,aktiv,21135850141
Universal Bank,2025-12,Kredit portfeli (brutto),aktiv,6380126199
Universal Bank,2025-12,Kredit zaxirasi,aktiv,-472339109
Universal Bank,2025-12,Qimmatli qog'ozlar,aktiv,9554371173
Universal Bank,2025-12,Asosiy vositalar,aktiv,1365918209
Universal Bank,2025-12,Jami aktivlar,aktiv,52209714693
Universal Bank,2025-12,Jismoniy shaxs depozitlari,passiv,12286811443
Universal Bank,2025-12,Yuridik shaxs depozitlari,passiv,1329081816
Universal Bank,2025-12,Banklararo qarzlar,passiv,9019629061
Universal Bank,2025-12,Chiqarilgan qimmatli qog'ozlar,passiv,502295323
Universal Bank,2025-12,Kapital,passiv,27640732964
Universal Bank,2025-12,Jami passivlar va kapital,passiv,50778550607
Universal Bank,2026-01,Naqd pul va MB dagi mablag'lar,aktiv,14445322829
Universal Bank,2026-01,Banklararo joylashtirishlar,aktiv,21816562341
Universal Bank,2026-01,Kredit portfeli (brutto),aktiv,6416768367
Universal Bank,2026-01,Kredit zaxirasi,aktiv,-570247779
Universal Bank,2026-01,Qimmatli qog'ozlar,aktiv,9298327186
Universal Bank,2026-01,Asosiy vositalar,aktiv,1385983082
Universal Bank,2026-01,Jami aktivlar,aktiv,52792716026
Universal Bank,2026-01,Aholi depozitlari,passiv,12934117532
Universal Bank,2026-01,Yuridik shaxs depozitlari,passiv,1317975272
Universal Bank,2026-01,Banklararo qarzlar,passiv,9552871968
Universal Bank,2026-01,Chiqarilgan qimmatli qog'ozlar,passiv,519151225
Universal Bank,2026-01,Kapital,passiv,28468600029
Universal Bank,2026-01,Jami passivlar va kapital,passiv,52792716026
Universal Bank,2026-02,Naqd pul va MB dagi mablag'lar,aktiv,14894217405
Universal Bank,2026-02,Banklararo joylashtirishlar,aktiv,21200645713
Universal Bank,2026-02,Kredit portfeli (brutto),aktiv,6372918498
Universal Bank,2026-02,Kredit zaxirasi,aktiv,-197063822
Universal Bank,2026-02,Qimmatli qog'ozlar,aktiv,9724322388
Universal Bank,2026-02,Asosiy vositalar,aktiv,1437129072
Universal Bank,2026-02,Jami aktivlar,aktiv,53432169254
Universal Bank,2026-02,Jismoniy shaxs depozitlari,passiv,13248778904
Universal Bank,2026-02,Yuridik shaxs depozitlari,passiv,1389167746
Universal Bank,2026-02,Banklararo qarzlar,passiv,9606698568
Universal Bank,2026-02,Chiqarilgan qimmatli qog'ozlar,passiv,536564304
Universal Bank,2026-02,Kapital,passiv,28650959732
Universal Bank,2026-02,Jami passivlar va kapital,passiv,53432169254
Universal Bank,2026-03,Kassa va Markaziy bankdagi mablag',aktiv,23126605847
Universal Bank,2026-03,Banklararo joylashtirishlar,aktiv,21408758933
Universal Bank,2026-03,Kredit portfeli (brutto),aktiv,6263634390
Universal Bank,2026-03,Kredit zaxirasi,aktiv,-194007796
Universal Bank,2026-03,Qimmatli qog'ozlar,aktiv,10065525672
Universal Bank,2026-03,Asosiy vositalar,aktiv,1489916396
Universal Bank,2026-03,Jami aktivlar,aktiv,62160433442
Universal Bank,2026-03,Jismoniy shaxslar omonatlari,passiv,18486202342
Universal Bank,2026-03,Yuridik shaxs depozitlari,passiv,1430105786
Universal Bank,2026-03,Banklararo qarzlar,passiv,10117057424
Universal Bank,2026-03,Chiqarilgan qimmatli qog'ozlar,passiv,524498278
Universal Bank,2026-03,Kapital,passiv,28713209761
Universal Bank,2026-03,Jami passivlar va kapital,passiv,59271073591
