bank,kredit_id,oy,mijoz_turi,tarmoq,summa,stavka_foiz,muddat_oy,tasnif
Milliy Bank,MIL000025,2026-03,yuridik,savdo,2367638,27.01,12,standart
Milliy Bank,MIL000026,2026-02,jismoniy,qurilish,18490939,19.33,12,standart
Milliy Bank,MIL000027,2025-11,yuridik,qishloq_xoj,1115147605,18.05,6,standart
Milliy Bank,MIL000028,2025-12,jismoniy,savdo,1540379,28.68,18,standart
Milliy Bank,MIL000029,2026-03,yuridik,sanoat,116952856,17.82,12,standart
Milliy Bank,MIL000030,2026-02,jismoniy,qishloq_xoj,248111142,15.91,36,standart
Milliy Bank,MIL000031,2026-03,yuridik,qishloq_xoj,136634719,19.0,84,standart
Milliy Bank,MIL000032,2025-11,yuridik,qurilish,7205825,15.3,6,standart
Milliy Bank,MIL000033,2025-10,jismoniy,xizmat,7294298,32.7,24,standart
Milliy Bank,MIL000034,2026-01,jismoniy,xizmat,269512294,14.17,36,umidsiz
Milliy Bank,MIL000035,2026-02,yuridik,qishloq_xoj,289775809,21.81,6,standart
Milliy Bank,MIL000036,2025-11,jismoniy,qurilish,7164118811,26.16,6,standart
Milliy Bank,MIL000037,2026-01,jismoniy,sanoat,3901832,32.51,6,standartdan_past
Milliy Bank,MIL000038,2025-12,yuridik,sanoat,1374908,21.3,18,standart
Milliy Bank,MIL000039,2026-03,yuridik,xizmat,200425751,14.99,60,standart
Milliy Bank,MIL000040,2025-10,yuridik,sanoat,3144799081,21.87,12,standart
Milliy Bank,MIL000041,2026-03,yuridik,sanoat,8658508,17.35,36,standart
Milliy Bank,MIL000042,2025-11,jismoniy,xizmat,3217045,16.53,36,standart
Milliy Bank,MIL000043,2025-10,jismoniy,qurilish,1337437,20.67,12,standart
Milliy Bank,MIL000044,2026-02,yuridik,sanoat,7413207841,22.88,12,standart
Milliy Bank,MIL000045,2026-02,jismoniy,qishloq_xoj,1804612779,19.33,60,standart
Milliy Bank,MIL000046,2026-02,jismoniy,sanoat,1160096079,28.58,36,standart
Milliy Bank,MIL000047,2026-03,jismoniy,qurilish,1381692,17.14,84,standart
Milliy Bank,MIL000048,2025-10,jismoniy,xizmat,28858333,22.17,12,shubhali
Milliy Bank,MIL000049,2026-01,yuridik,qurilish,250814825,17.44,18,standartdan_past
Milliy Bank,MIL000050,2025-12,jismoniy,savdo,3046674,15.02,60,standart
Milliy Bank,MIL000051,2025-10,jismoniy,savdo,1005054589,17.57,24,standartdan_past
Milliy Bank,MIL000052,2025-10,yuridik,qishloq_xoj,168597415,19.51,84,standart
Milliy Bank,MIL000053,2025-11,jismoniy,qurilish,84307971,33.82,12,standart
Milliy Bank,MIL000054,2026-02,jismoniy,savdo,2270775115,18.99,84,standart
Milliy Bank,MIL000055,2025-11,yuridik,savdo,659371863,24.76,84,standart
Milliy Bank,MIL000056,2026-03,yuridik,qishloq_xoj,59809290,27.32,6,standart
Milliy Bank,MIL000057,2025-12,yuridik,qurilish,77901002,21.15,60,shubhali
Milliy Bank,MIL000058,2025-10,jismoniy,savdo,1272881,17.78,84,standart
Milliy Bank,MIL000059,2025-10,yuridik,xizmat,3329009567,25.5,36,standart
Milliy Bank,MIL000060,2026-03,yuridik,savdo,697019134,29.56,84,standart
Milliy Bank,MIL000061,2026-02,yuridik,savdo,8810636809,16.87,18,standart
Milliy Bank,MIL000062,2025-12,jismoniy,savdo,62408863,31.39,18,standart
Milliy Bank,MIL000063,2026-01,yuridik,xizmat,9602539,16.74,24,standart
Milliy Bank,MIL000064,2026-01,jismoniy,sanoat,1489906164,19.01,6,standart
Milliy Bank,MIL000065,2026-03,yuridik,sanoat,12455518,31.21,18,standart
Milliy Bank,MIL000066,2025-11,jismoniy,qishloq_xoj,1185015175,31.72,24,standart
Milliy Bank,MIL000067,2026-01,yuridik,sanoat,1815527087,33.36,6,standart
Milliy Bank,MIL000068,2026-01,yuridik,xizmat,81776034,15.73,6,standart
Milliy Bank,MIL000069,2025-11,jismoniy,savdo,97801047,24.75,18,standart
Milliy Bank,MIL000070,2026-02,jismoniy,sanoat,66833744,33.93,24,standart
Milliy Bank,MIL000071,2025-11,yuridik,savdo,9644286458,31.44,84,standart
Milliy Bank,MIL000072,2025-10,jismoniy,savdo,122508453,18.32,24,standart
Milliy Bank,MIL000073,2025-12,yuridik,sanoat,7672158532,21.2,60,standart
Milliy Bank,MIL000074,2026-01,jismoniy,savdo,5988734943,20.4,36,standart
Milliy Bank,MIL000075,2025-12,jismoniy,xizmat,478336083,30.52,84,standart
Milliy Bank,MIL000076,2026-02,yuridik,qishloq_xoj,4434786499,31.25,60,umidsiz
Milliy Bank,MIL000077,2026-02,yuridik,xizmat,18120782,33.75,6,standart
Milliy Bank,MIL000078,2025-11,yuridik,savdo,39393268,14.02,36,standart
Milliy Bank,MIL000079,2026-03,jismoniy,sanoat,2799725,24.65,24,standart
Milliy Bank,MIL000080,2026-02,yuridik,sanoat,5511074080,23.94,36,standart
Milliy Bank,MIL000081,2025-11,jismoniy,sanoat,27561354,25.99,84,standart
Milliy Bank,MIL000082,2025-10,jismoniy,xizmat,903709531,23.87,36,standart
Milliy Bank,MIL000083,2026-02,yuridik,qishloq_xoj,4218233284,20.73,36,standart
Milliy Bank,MIL000084,2026-01,jismoniy,qishloq_xoj,656813511,25.33,60,standart
Milliy Bank,MIL000085,2025-10,yuridik,savdo,1122277609,31.6,84,shubhali
Milliy Bank,MIL000086,2025-10,jismoniy,savdo,1573466,26.9,12,standartdan_past
Milliy Bank,MIL000087,2025-12,yuridik,xizmat,317088004,30.74,60,standart
Milliy Bank,MIL000088,2025-10,yuridik,qurilish,6540229,24.41,60,standart
Milliy Bank,MIL000089,2026-03,yuridik,savdo,2782927398,30.92,18,standartdan_past
Milliy Bank,MIL000090,2025-11,yuridik,xizmat,5930485,15.7,18,standart
Milliy Bank,MIL000091,2026-01,yuridik,sanoat,6495077,27.0,18,standart
Milliy Bank,MIL000092,2025-11,jismoniy,qurilish,12418522,19.24,24,standartdan_past
Milliy Bank,MIL000093,2025-10,yuridik,savdo,45589575,25.04,18,standart
Milliy Bank,MIL000094,2026-02,yuridik,savdo,171493092,16.87,60,standart
Milliy Bank,MIL000095,2025-11,jismoniy,sanoat,11938546,28.87,6,standart
Milliy Bank,MIL000096,2026-01,jismoniy,qishloq_xoj,3781040662,21.47,84,standart
Milliy Bank,MIL000097,2025-11,yuridik,savdo,18399980,14.89,6,standart
Milliy Bank,MIL000098,2026-02,yuridik,qishloq_xoj,1905157,24.67,36,standartdan_past
Milliy Bank,MIL000099,2026-03,yuridik,qishloq_xoj,246534302,33.45,12,standart
Milliy Bank,MIL000100,2025-10,jismoniy,qurilish,1232565,31.14,6,standart
Milliy Bank,MIL000101,2025-12,yuridik,xizmat,7196487890,32.45,60,standartdan_past
Milliy Bank,MIL000102,2025-12,yuridik,sanoat,53717577,23.68,60,standart
Milliy Bank,MIL000103,2026-03,yuridik,qishloq_xoj,16670126,17.92,6,standart
Milliy Bank,MIL000104,2026-02,jismoniy,xizmat,4114492,21.15,24,standart
Milliy Bank,MIL000105,2025-12,jismoniy,qishloq_xoj,174625976,22.2,36,standart
Milliy Bank,MIL000106,2025-10,yuridik,qurilish,10927135,27.31,84,standart
Milliy Bank,MIL000107,2026-01,jismoniy,qishloq_xoj,79562149,28.69,6,umidsiz
Milliy Bank,MIL000108,2025-10,yuridik,xizmat,323411438,28.57,36,standart
Milliy Bank,MIL000109,2026-03,jismoniy,sanoat,8361480017,26.96,6,standart
Milliy Bank,MIL000110,2026-02,jismoniy,qurilish,720192771,20.96,36,standart
Milliy Bank,MIL000111,2026-03,jismoniy,sanoat,4567501,21.32,24,standart
Milliy Bank,MIL000112,2025-10,yuridik,qurilish,163136624,14.88,6,standart
Milliy Bank,MIL000113,2026-02,yuridik,xizmat,19624931,14.35,24,standart
Milliy Bank,MIL000114,2026-02,yuridik,qishloq_xoj,64380291,14.3,84,standart
Milliy Bank,MIL000115,2026-02,jismoniy,sanoat,38471059,16.24,6,standart
Milliy Bank,MIL000116,2026-02,jismoniy,qishloq_xoj,1067703,21.45,6,standart
Milliy Bank,MIL000117,2026-01,jismoniy,qishloq_xoj,35463507,17.95,60,standart
Milliy Bank,MIL000118,2026-01,yuridik,qishloq_xoj,337069931,29.49,60,standart
Milliy Bank,MIL000119,2025-10,jismoniy,qishloq_xoj,25403355,23.02,84,standart
Milliy Bank,MIL000120,2026-03,yuridik,sanoat,1252037,19.08,12,standart
Milliy Bank,MIL000121,2026-03,yuridik,savdo,245370459,26.93,84,standart
Milliy Bank,MIL000122,2026-03,yuridik,xizmat,8196286,32.59,12,standart
Milliy Bank,MIL000123,2025-12,jismoniy,qishloq_xoj,1584185,32.41,12,umidsiz
Milliy Bank,MIL000124,2025-11,yuridik,qishloq_xoj,478178465,18.21,60,standartdan_past
Milliy Bank,MIL000125,2026-01,jismoniy,savdo,31138207,29.69,12,standart
Milliy Bank,MIL000126,2026-02,yuridik,qurilish,743461292,27.53,84,shubhali
Milliy Bank,MIL000127,2025-10,jismoniy,savdo,1564985648,22.74,6,standart
Milliy Bank,MIL000128,2025-10,jismoniy,qishloq_xoj,11179659,14.03,60,standart
Milliy Bank,MIL000129,2025-11,yuridik,qurilish,800556710,24.78,36,standart
Milliy Bank,MIL000130,2026-03,jismoniy,sanoat,17487995,23.48,84,standart
Milliy Bank,MIL000131,2025-10,yuridik,qurilish,431874357,28.97,36,standart
Milliy Bank,MIL000132,2025-12,jismoniy,savdo,5076744,18.28,6,standart
Milliy Bank,MIL000133,2026-02,jismoniy,qishloq_xoj,112028425,28.96,12,standart
Milliy Bank,MIL000134,2026-01,yuridik,sanoat,4225223,19.01,84,standart
Milliy Bank,MIL000135,2025-10,yuridik,savdo,3425873083,22.17,24,standart
Milliy Bank,MIL000136,2025-12,jismoniy,qurilish,208395583,24.09,18,shubhali
Milliy Bank,MIL000137,2026-02,yuridik,xizmat,337665635,14.12,6,standart
Milliy Bank,MIL000138,2026-03,yuridik,qishloq_xoj,20217266,32.96,36,standart
Milliy Bank,MIL000139,2026-03,yuridik,qurilish,2613021,27.87,12,standart
Milliy Bank,MIL000140,2025-12,yuridik,savdo,366353412,15.6,84,standart
Milliy Bank,MIL000141,2026-01,jismoniy,savdo,4608355106,23.15,84,standart
Milliy Bank,MIL000142,2025-11,yuridik,xizmat,5700407,33.12,24,standart
Milliy Bank,MIL000143,2025-11,yuridik,qishloq_xoj,196624844,29.22,18,standart
Milliy Bank,MIL000144,2025-10,jismoniy,qurilish,2628309811,17.11,18,standart
Milliy Bank,MIL000145,2025-11,jismoniy,savdo,372379598,29.35,6,standart
Milliy Bank,MIL000146,2026-02,yuridik,xizmat,8105406892,32.79,24,standart
Milliy Bank,MIL000147,2025-11,yuridik,qishloq_xoj,3234254,14.6,12,standart
Milliy Bank,MIL000148,2026-01,yuridik,savdo,4022341649,30.71,36,standart
Milliy Bank,MIL000149,2026-02,jismoniy,savdo,339064314,21.71,18,standart
Milliy Bank,MIL000150,2026-03,jismoniy,savdo,1129462,15.87,36,standart
Milliy Bank,MIL000151,2025-10,yuridik,qurilish,7747467342,33.53,18,standart
Milliy Bank,MIL000152,2025-11,jismoniy,xizmat,1120876,33.05,12,standart
Milliy Bank,MIL000153,2025-12,yuridik,savdo,17177436,24.67,36,standart
Milliy Bank,MIL000154,2026-02,yuridik,qishloq_xoj,94656965,22.38,60,standart
Milliy Bank,MIL000155,2026-03,yuridik,xizmat,943502810,30.15,6,standart
Milliy Bank,MIL000156,2025-10,jismoniy,sanoat,9838755040,33.07,12,standart
Milliy Bank,MIL000157,2025-10,yuridik,qurilish,15254207,30.6,18,standart
Milliy Bank,MIL000158,2025-11,jismoniy,savdo,1301120,17.75,24,standart
Milliy Bank,MIL000159,2025-12,jismoniy,qurilish,20103007,29.27,6,standart
Milliy Bank,MIL000160,2026-03,yuridik,sanoat,3073460890,27.67,18,standart
Milliy Bank,MIL000161,2025-11,jismoniy,savdo,4017397736,24.44,36,standart
Milliy Bank,MIL000162,2025-12,yuridik,savdo,2018905110,17.98,6,shubhali
Milliy Bank,MIL000163,2025-11,yuridik,xizmat,341215958,23.86,36,standart
Milliy Bank,MIL000164,2025-12,yuridik,savdo,1232791209,21.5,6,standart
Milliy Bank,MIL000165,2025-10,jismoniy,qishloq_xoj,4203810143,20.77,36,standart
Milliy Bank,MIL000166,2025-11,yuridik,qurilish,242626270,30.74,36,standart
Milliy Bank,MIL000167,2025-10,jismoniy,xizmat,3395457893,28.43,84,standart
Milliy Bank,MIL000168,2026-01,jismoniy,qishloq_xoj,463598378,28.93,60,standart
Milliy Bank,MIL000169,2026-03,jismoniy,xizmat,395715965,29.22,6,standart
Milliy Bank,MIL000170,2025-11,yuridik,savdo,1801379687,14.3,84,standart
Milliy Bank,MIL000171,2026-01,jismoniy,xizmat,25988756,14.21,12,standart
Milliy Bank,MIL000172,2026-03,yuridik,qurilish,599099330,24.13,24,standart
Milliy Bank,MIL000173,2026-01,yuridik,qurilish,2772251,17.37,12,standart
Milliy Bank,MIL000174,2025-11,yuridik,sanoat,1553436221,24.3,60,standart
Milliy Bank,MIL000175,2025-10,jismoniy,qurilish,1590682870,15.29,36,standart
Milliy Bank,MIL000176,2026-03,yuridik,qurilish,104417214,28.12,12,standart
Milliy Bank,MIL000177,2026-03,yuridik,qurilish,5203379,30.03,18,standart
Milliy Bank,MIL000178,2025-12,yuridik,sanoat,180582141,19.81,18,standart
Milliy Bank,MIL000179,2025-11,jismoniy,sanoat,558450978,27.57,12,standart
Milliy Bank,MIL000180,2025-10,yuridik,qishloq_xoj,6126178,26.17,18,standart
Milliy Bank,MIL000181,2025-12,jismoniy,qurilish,16695129,25.44,12,standart
Milliy Bank,MIL000182,2026-01,yuridik,xizmat,33757511,15.56,36,standart
Milliy Bank,MIL000183,2026-01,yuridik,qurilish,52933549,25.79,84,standart
Milliy Bank,MIL000184,2026-03,jismoniy,qurilish,4787809,28.71,18,standart
Milliy Bank,MIL000185,2026-01,jismoniy,sanoat,4096358,18.14,60,standart
Milliy Bank,MIL000186,2026-02,jismoniy,xizmat,57022051,22.65,12,standart
Milliy Bank,MIL000187,2026-02,yuridik,savdo,4029027592,31.97,12,standart
Milliy Bank,MIL000188,2026-03,yuridik,qurilish,1387724,16.76,6,standart
Milliy Bank,MIL000189,2026-02,jismoniy,savdo,308643779,15.22,12,standart
Milliy Bank,MIL000190,2026-01,yuridik,qurilish,26443611,30.82,12,standart
Milliy Bank,MIL000191,2026-02,jismoniy,sanoat,41560145,19.73,24,standartdan_past
Milliy Bank,MIL000192,2025-11,jismoniy,qishloq_xoj,191896996,25.99,84,standart
Milliy Bank,MIL000193,2026-01,jismoniy,sanoat,76657410,24.72,12,standart
Milliy Bank,MIL000194,2026-03,yuridik,savdo,4672924654,16.8,60,standart
Milliy Bank,MIL000195,2026-01,yuridik,savdo,9265696303,30.2,60,standart
Milliy Bank,MIL000196,2026-03,yuridik,qurilish,11710198,18.19,36,standart
Milliy Bank,MIL000197,2026-01,yuridik,qishloq_xoj,4246357,17.9,36,standart
Milliy Bank,MIL000198,2025-10,jismoniy,qurilish,3569145,33.62,84,shubhali
Milliy Bank,MIL000199,2025-10,yuridik,sanoat,89267824,26.36,84,standart
Milliy Bank,MIL000200,2026-03,yuridik,qishloq_xoj,9521355159,14.72,12,standart
Milliy Bank,MIL000201,2026-01,yuridik,xizmat,34882527,22.04,18,standart
Milliy Bank,MIL000202,2025-10,yuridik,xizmat,244349269,17.57,24,standart
Milliy Bank,MIL000203,2025-11,jismoniy,qishloq_xoj,1641660,33.97,24,standart
Milliy Bank,MIL000204,2025-11,jismoniy,xizmat,7207059805,19.78,36,standart
Milliy Bank,MIL000205,2025-11,jismoniy,savdo,4504075903,28.76,18,standart
Milliy Bank,MIL000206,2026-02,yuridik,qurilish,7173700,30.72,18,standart
Milliy Bank,MIL000207,2026-02,jismoniy,xizmat,36742202,22.13,60,standartdan_past
Milliy Bank,MIL000208,2026-02,yuridik,qishloq_xoj,4884040,19.23,24,standart
Milliy Bank,MIL000209,2026-03,yuridik,xizmat,98057598,19.59,6,standart
Milliy Bank,MIL000210,2025-12,jismoniy,sanoat,1647079392,29.8,24,standart
Milliy Bank,MIL000211,2025-10,jismoniy,savdo,136389959,17.52,6,standart
Milliy Bank,MIL000212,2025-12,jismoniy,qurilish,78790505,29.6,84,standart
Milliy Bank,MIL000213,2026-01,jismoniy,qurilish,153642066,16.74,6,standart
Milliy Bank,MIL000214,2025-10,yuridik,savdo,1654406286,14.39,24,standart
Milliy Bank,MIL000215,2026-01,yuridik,sanoat,1484594727,18.46,24,standart
Milliy Bank,MIL000216,2025-10,yuridik,savdo,1622703,19.96,12,standart
Milliy Bank,MIL000217,2025-10,yuridik,sanoat,387487711,14.08,24,standart
Milliy Bank,MIL000218,2026-02,jismoniy,qishloq_xoj,74278745,21.16,12,standart
Milliy Bank,MIL000219,2026-03,yuridik,qishloq_xoj,1331880564,26.85,24,umidsiz
Milliy Bank,MIL000220,2025-10,yuridik,xizmat,4252283,32.86,12,standart
Milliy Bank,MIL000221,2026-01,jismoniy,xizmat,3710118,14.51,60,standart
Milliy Bank,MIL000222,2026-01,yuridik,savdo,5561657332,17.01,6,standart
Milliy Bank,MIL000223,2025-10,jismoniy,savdo,1291782989,28.91,6,standart
Milliy Bank,MIL000224,2025-12,jismoniy,qishloq_xoj,6292949,23.82,36,standart
Milliy Bank,MIL000225,2025-11,yuridik,xizmat,5875146,18.08,84,standart
Milliy Bank,MIL000226,2026-03,jismoniy,savdo,1437451693,28.5,84,standart
Milliy Bank,MIL000227,2025-12,jismoniy,qishloq_xoj,214671717,19.86,12,standartdan_past
Milliy Bank,MIL000228,2026-03,yuridik,qishloq_xoj,2993520638,24.79,18,standart
Milliy Bank,MIL000229,2025-12,jismoniy,qishloq_xoj,3883730,14.91,60,standart
Milliy Bank,MIL000230,2025-12,yuridik,qurilish,4520464,25.87,84,standartdan_past
Milliy Bank,MIL000231,2025-10,jismoniy,xizmat,11709868,30.36,12,standart
Milliy Bank,MIL000232,2025-10,yuridik,xizmat,2362523351,29.01,60,standart
Milliy Bank,MIL000233,2026-01,yuridik,qurilish,1044537295,26.27,84,standart
Milliy Bank,MIL000234,2025-11,jismoniy,sanoat,2333177430,17.05,60,standart
Milliy Bank,MIL000235,2026-02,jismoniy,xizmat,4645642315,15.69,12,standart
Milliy Bank,MIL000236,2025-12,jismoniy,xizmat,6449971,29.78,6,standart
Milliy Bank,MIL000237,2026-02,yuridik,qurilish,5489799,26.16,18,standart
Milliy Bank,MIL000238,2026-03,jismoniy,xizmat,101881578,19.56,18,standartdan_past
Milliy Bank,MIL000239,2025-11,jismoniy,savdo,8191960685,15.34,36,standart
Milliy Bank,MIL000240,2026-02,jismoniy,sanoat,35205834,17.6,84,standart
Milliy Bank,MIL000241,2025-11,jismoniy,savdo,18694690,15.11,84,standart
Milliy Bank,MIL000242,2026-01,yuridik,sanoat,344724197,27.35,24,standart
Milliy Bank,MIL000243,2026-02,jismoniy,savdo,2602299012,17.15,60,standart
Milliy Bank,MIL000244,2026-01,yuridik,qishloq_xoj,46327029,16.46,24,standart
Milliy Bank,MIL000245,2026-01,jismoniy,sanoat,1570115,18.39,60,standart
Milliy Bank,MIL000246,2025-10,yuridik,qurilish,1105425,14.14,6,standart
Milliy Bank,MIL000247,2025-12,yuridik,xizmat,3584135,29.24,36,standart
Milliy Bank,MIL000248,2026-02,jismoniy,savdo,17121469,14.37,6,standart
Milliy Bank,MIL000249,2026-03,yuridik,qurilish,3586490,16.73,36,standart
Milliy Bank,MIL000250,2025-12,yuridik,qishloq_xoj,87030526,27.28,18,standart
Milliy Bank,MIL000251,2025-12,jismoniy,savdo,27321959,14.15,84,umidsiz
Milliy Bank,MIL000252,2025-12,yuridik,xizmat,587503435,16.74,18,standart
Milliy Bank,MIL000253,2025-10,yuridik,xizmat,2706529,14.47,12,standart
Milliy Bank,MIL000254,2025-12,yuridik,qurilish,32366385,26.63,12,standart
Milliy Bank,MIL000255,2025-11,yuridik,qurilish,1697049,17.33,24,standart
Milliy Bank,MIL000256,2026-03,jismoniy,qurilish,69392912,31.3,60,shubhali
Milliy Bank,MIL000257,2025-12,jismoniy,sanoat,4725631,17.22,12,shubhali
Milliy Bank,MIL000258,2026-03,jismoniy,qurilish,21246190,25.21,84,standart
Milliy Bank,MIL000259,2026-03,yuridik,savdo,521619034,29.42,6,standart
Milliy Bank,MIL000260,2025-11,jismoniy,qurilish,51792639,26.31,24,standartdan_past
Milliy Bank,MIL000261,2025-10,yuridik,savdo,882273921,19.23,36,standart
Milliy Bank,MIL000262,2025-12,yuridik,qishloq_xoj,1317860,24.03,12,standart
Milliy Bank,MIL000263,2026-01,yuridik,savdo,9235693,14.74,24,standartdan_past
Milliy Bank,MIL000264,2026-02,yuridik,xizmat,112306926,17.02,36,standart
Milliy Bank,MIL000265,2026-03,jismoniy,savdo,913723171,15.03,6,standart
Milliy Bank,MIL000266,2025-11,jismoniy,qurilish,2444721066,20.81,12,standart
Milliy Bank,MIL000267,2026-02,yuridik,sanoat,136835587,19.07,24,standart
Milliy Bank,MIL000268,2026-01,yuridik,qurilish,1043114307,17.87,12,standart
Milliy Bank,MIL000269,2026-02,jismoniy,sanoat,85934550,19.83,6,standart
Milliy Bank,MIL000270,2026-01,yuridik,qurilish,5594825,23.79,6,standart
Milliy Bank,MIL000271,2026-02,yuridik,qishloq_xoj,2388565,16.16,18,standart
Milliy Bank,MIL000272,2026-03,jismoniy,qishloq_xoj,4742817,24.96,6,standart
Milliy Bank,MIL000273,2026-01,jismoniy,qurilish,17315310,28.56,12,standart
Milliy Bank,MIL000274,2025-12,jismoniy,sanoat,32182396,20.66,6,standart
Milliy Bank,MIL000275,2026-03,jismoniy,savdo,4502450823,30.4,24,standart
Milliy Bank,MIL000276,2025-12,yuridik,qishloq_xoj,13449340,32.38,12,standartdan_past
Milliy Bank,MIL000277,2025-11,jismoniy,savdo,1182867857,29.45,60,standart
Milliy Bank,MIL000278,2025-12,yuridik,xizmat,4809804,19.23,12,standart
Milliy Bank,MIL000279,2026-01,jismoniy,sanoat,28637909,28.66,60,standart
Milliy Bank,MIL000280,2025-10,yuridik,xizmat,121510081,25.0,6,standart
Milliy Bank,MIL000281,2026-02,jismoniy,xizmat,2096815,16.2,12,standart
Milliy Bank,MIL000282,2025-10,jismoniy,xizmat,230562963,27.67,36,standart
Milliy Bank,MIL000283,2026-03,jismoniy,qurilish,1237459521,21.03,6,standart
Milliy Bank,MIL000284,2026-01,yuridik,xizmat,7193280425,14.96,84,standart
Milliy Bank,MIL000285,2025-10,jismoniy,xizmat,89118882,19.11,36,standart
Milliy Bank,MIL000286,2025-12,jismoniy,qurilish,75887578,17.73,12,standart
Milliy Bank,MIL000287,2025-12,yuridik,qishloq_xoj,1117074,32.48,6,standart
Milliy Bank,MIL000288,2026-01,yuridik,savdo,3482762736,26.61,24,standart
Milliy Bank,MIL000289,2025-10,yuridik,xizmat,8155106,23.96,60,standart
Milliy Bank,MIL000290,2026-03,jismoniy,sanoat,1125598037,23.07,24,standart
Milliy Bank,MIL000291,2025-12,yuridik,qishloq_xoj,143791272,29.57,24,standart
Milliy Bank,MIL000292,2025-12,yuridik,sanoat,243432399,19.13,24,standartdan_past
Milliy Bank,MIL000293,2026-01,jismoniy,qishloq_xoj,2913368,29.0,60,standart
Milliy Bank,MIL000294,2025-12,jismoniy,xizmat,131992070,20.14,84,standart
Milliy Bank,MIL000295,2025-10,yuridik,sanoat,1307960,20.69,12,standart
Milliy Bank,MIL000296,2025-11,yuridik,xizmat,1111355697,21.51,84,standart
Milliy Bank,MIL000297,2025-12,yuridik,xizmat,510927287,21.91,6,standart
Milliy Bank,MIL000298,2025-10,jismoniy,savdo,2862160,21.49,24,standart
Milliy Bank,MIL000299,2026-02,jismoniy,qishloq_xoj,115950797,18.81,12,standart
Milliy Bank,MIL000300,2025-12,jismoniy,savdo,127800904,19.16,84,standart
Milliy Bank,MIL000301,2026-02,yuridik,qurilish,621821098,15.81,84,standart
Milliy Bank,MIL000302,2025-12,jismoniy,sanoat,7228684272,21.26,60,standart
Milliy Bank,MIL000303,2026-01,yuridik,qishloq_xoj,9000803,31.51,84,standart
Milliy Bank,MIL000304,2026-03,jismoniy,qishloq_xoj,4245629020,26.82,60,standart
Milliy Bank,MIL000305,2025-11,jismoniy,savdo,7127201,33.99,36,standart
Milliy Bank,MIL000306,2025-12,yuridik,qurilish,425167214,27.42,18,standart
Milliy Bank,MIL000307,2025-10,yuridik,sanoat,7479497,33.02,18,standart
Milliy Bank,MIL000308,2025-11,yuridik,sanoat,8913719008,25.05,18,standart
Milliy Bank,MIL000309,2025-10,jismoniy,xizmat,22382832,22.11,60,standart
Milliy Bank,MIL000310,2025-12,jismoniy,qishloq_xoj,1117110,28.04,12,standart
Milliy Bank,MIL000311,2026-02,jismoniy,xizmat,3967301711,21.2,18,standartdan_past
Milliy Bank,MIL000312,2025-11,yuridik,sanoat,2569919079,15.1,24,standart
Milliy Bank,MIL000313,2026-02,yuridik,qishloq_xoj,6913093,24.72,18,standart
Milliy Bank,MIL000314,2026-03,jismoniy,sanoat,8176206,29.74,12,standart
Milliy Bank,MIL000315,2025-10,jismoniy,qurilish,29822507,21.97,24,standartdan_past
Milliy Bank,MIL000316,2026-01,yuridik,savdo,17272163,19.24,6,standart
Milliy Bank,MIL000317,2026-02,jismoniy,qurilish,111349207,20.27,24,standart
